Videocard Name,Passmark G3D Mark
Radeon HD 8610G + HD 8670M Dual,577
Radeon HD 8610G + R5 M200 Dual,676
Radeon HD 8650D,396
Radeon HD 8650G,501
Radeon HD 8650G + 7600M Dual,741
Radeon HD 8650G + 7670M Dual,883
Radeon HD 8650G + 7700M Dual,1126
Radeon HD 8650G + 8500M Dual,626
Radeon HD 8650G + 8570M Dual,654
Radeon HD 8650G + 8600/8700M Dual,831
Radeon HD 8650G + 8600M Dual,613
Radeon HD 8650G + 8670M Dual,635
Radeon HD 8650G + 8750M Dual,786
Radeon HD 8650G + HD 7600M Dual,819
Radeon HD 8650G + HD 7670M Dual,634
Radeon HD 8650G + HD 8570M Dual,716
Radeon HD 8650G + HD 8600/8700M Dual,763
Radeon HD 8650G + HD 8600M Dual,606
Radeon HD 8650G + HD 8600M N HD 8600M Dual,757
Radeon HD 8650G + HD 8670M Dual,585
Radeon HD 8650G + HD 8750M Dual,651
Radeon HD 8650G + HD 8790M Dual,799
Radeon HD 8650G + R5 M200 Dual,722
Radeon HD 8650G + R5 M230 Dual,686
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679
Radeon HD 8670D,517
Radeon HD 8670D + 6670 Dual,1361
Radeon HD 8670D + 7000 Dual,811
Radeon HD 8670D + 7700 Dual,1788
Radeon HD 8670D + 8570 Dual,974
Radeon HD 8670D + HD 6670 Dual,1221
Radeon HD 8670D + HD 7000 Dual,718
Radeon HD 8670D + HD 7600 Dual,1317
Radeon HD 8670D + HD 7700 Dual,1892
Radeon HD 8670D + R5 235 Dual,836
Radeon HD 8670D + R5 330 Dual,746
Radeon HD 8670D + R7 200 Dual,949
Radeon HD 8670D + R7 240 Dual,1020
Radeon HD 8670D N HD 8670D + HD 8670D Dual,488
Radeon HD 8670M,520
Radeon HD 8690A,514
Radeon HD 8690M,984
Radeon HD 8730M,818
Radeon HD 8750M,1053
Radeon HD 8790M,1305
Radeon HD 8790M / R9 M290X,1210
Radeon HD 8850M,973
Radeon HD 8850M / R9 M265X,1139
Radeon HD 8870M,1638
Radeon HD 8870M / R9 M270X / M370X,1799
Radeon HD 8950,2827
Radeon HD 8970M,3876
Radeon HD 8990,5214
Radeon HD HD7850M,1727
Radeon HD4650,239
Radeon HD4670,365
RADEON HD6370D,320
RADEON HD6410D,422
RADEON HD6530D,531
RADEON HD7450,199
Radeon HD8530M,490
Radeon HD8970M,3368
Radeon HDG 4670,170
RADEON IGP 320,3
Radeon IGP 320M,3
Radeon IGP 340M,2
RADEON IGP 345M,2
RADEON IGP 34xM,1
RADEON IGP 350M,6
Radeon Infoshock 3000,106
Radeon Instinct MI25 MxGPU,4403
Radeon M535DX,749
Radeon Pro,2365
Radeon Pro 450,2722
Radeon Pro 455,3112
Radeon Pro 460,3452
Radeon Pro 465,4537
Radeon Pro 5300,7125
Radeon Pro 5300M,5852
Radeon Pro 5500 XT,7910
Radeon Pro 5500M,6735
Radeon Pro 555,3140
Radeon Pro 560,3475
Radeon Pro 5600M,9324
Radeon Pro 560X,3677
Radeon Pro 570,6336
Radeon Pro 5700,11456
Radeon Pro 5700 XT,12453
Radeon Pro 580,7753
Radeon Pro 580X,7540
Radeon Pro Duo,8298
Radeon PRO Ryzen 5 PRO 6650U,3998
Radeon PRO Ryzen 7 PRO 6850U,5606
Radeon Pro SSG,10971
Radeon Pro V340 MxGPU,2853
Radeon Pro V520 MxGPU,12257
Radeon Pro V620 MxGPU,15632
Radeon Pro Vega 16,4809
Radeon Pro Vega 20,5168
Radeon Pro Vega 48,11269
Radeon Pro Vega 56,12104
Radeon Pro Vega 64,12881
Radeon Pro Vega 64X,13369
Radeon Pro Vega II,15596
Radeon Pro Vega II Duo,14018
Radeon Pro VII,13311
Radeon Pro W5500,8912
Radeon Pro W5500M,3469
Radeon Pro W5500X,7350
Radeon Pro W5700,14129
Radeon Pro W5700X,16012
Radeon PRO W6300,5559
Radeon PRO W6400,8428
Radeon PRO W6600,14931
Radeon PRO W6600M,11407
Radeon PRO W6600X,13113
Radeon PRO W6800,20270
Radeon Pro W6800X Duo,14742
Radeon PRO W7500,13298
Radeon PRO W7600,16442
Radeon PRO W7700,23061
Radeon PRO W7800,27180
Radeon PRO W7900,27935
Radeon Pro WX 2100,1874
Radeon Pro WX 3100,2587
Radeon Pro WX 3200,2216
Radeon Pro WX 4100,3682
Radeon Pro WX 4130,1890
Radeon Pro WX 4150,2675
Radeon Pro WX 4170,2869
Radeon Pro WX 5100,5503
Radeon Pro WX 7100,7699
Radeon Pro WX 7130,6495
Radeon Pro WX 8200,12614
Radeon Pro WX 9100,12226
Radeon Pro WX Vega M GL,4498
Radeon R1E,301
Radeon R2,254
Radeon R2E,211
Radeon R3,313
Radeon R3E,224
Radeon R4,346
Radeon R4E,487
Radeon R5 220,147
Radeon R5 230,221
Radeon R5 235,336
Radeon R5 235 + HD 7560D Dual,743
Radeon R5 235 + HD 8570D Dual,737
Radeon R5 235X,277
Radeon R5 240,558
Radeon R5 310,331
Radeon R5 330,522
Radeon R5 340,889
Radeon R5 420,574
Radeon R5 430,886
Radeon R5 435,761
Radeon R5 A10-9600P 4C+6G,619
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",703
Radeon R5 A10-9620P 4C+6G,731
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",651
Radeon R5 A10-9630P 4C+6G,977
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",789
Radeon R5 A240,576
Radeon R5 A6-7480,693
Radeon R5 A6-8500P,586
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605
Radeon R5 A6-9500 2C+6G,853
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",902
Radeon R5 A6-9500E 2C+4G,1014
"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",720
Radeon R5 M230,424
Radeon R5 M240,472
Radeon R5 M255,543
Radeon R5 M315,489
Radeon R5 M320,475
Radeon R5 M330,595
Radeon R5 M335,548
Radeon R5 M420,503
Radeon R5 M430,648
Radeon R5 M435,859
Radeon R5 Opteron X3216,415
Radeon R5 PRO A10-8730B 4C+6G,695
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",615
Radeon R5 PRO A6-8500B 2C+4G,508
"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",510
Radeon R5 PRO A6-8530B 2C+4G,689
"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",463
Radeon R5 PRO A6-8570 2C+6G,847
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",953
Radeon R5 PRO A6-8570E 2C+4G,637
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",678
Radeon R5 PRO A6-9500 2C+6G,1096
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",765
Radeon R5 PRO A6-9500B 2C+4G,693
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",412
Radeon R5 PRO A6-9500E 2C+4G,770
Radeon R5 PRO A8-9600B 4C+6G,658
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",578
Radeon R5E,315
Radeon R6,611
Radeon R6 + R7 M265DX Dual,570
Radeon R6 A10-8700P,545
Radeon R6 A10-9600P 4C+6G,970
Radeon R6 A8-8600P,474
Radeon R6 M255DX,605
Radeon R6 Opteron X3418,955
Radeon R6 PRO A10-8700B 4C+6G,538
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",549
Radeon R6 PRO A8-8600B 4C+6G,531
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",584
Radeon R7 + HD 7700 Dual,1962
Radeon R7 + R5 330 Dual,1028
Radeon R7 + R5 340 Dual,1234
Radeon R7 + R5 435 Dual A10-9700 RADEON,885
Radeon R7 + R5 Dual,897
Radeon R7 + R7 200 Dual,1077
Radeon R7 + R7 240 Dual,1045
Radeon R7 + R7 250 Dual,1232
Radeon R7 + R7 350 Dual,1982
Radeon R7 +8G,1190
Radeon R7 240,902
Radeon R7 240 + HD 8570D Dual,917
Radeon R7 240 + HD 8670D Dual,930
Radeon R7 250,1049
Radeon R7 250X,2268
Radeon R7 260,2891
Radeon R7 260X,3198
Radeon R7 340,960
Radeon R7 360,3118
Radeon R7 370,4482
Radeon R7 430,1097
Radeon R7 450,1885
Radeon R7 7850A10-7850K,551
Radeon R7 A10 Extreme Edition,843
Radeon R7 A10 PRO-7800B,721
Radeon R7 A10 PRO-7850B,822
Radeon R7 A10-7700K,771
Radeon R7 A10-7800,740
Radeon R7 A10-7850K,926
Radeon R7 A10-7860K,876
Radeon R7 A10-7870K,1066
Radeon R7 A10-7890K,998
Radeon R7 A10-8750,856
Radeon R7 A10-8850,773
Radeon R7 A10-9700 RADEON,904
Radeon R7 A10-9700E RADEON,887
Radeon R7 A12-9700P RADEON,687
Radeon R7 A12-9720P RADEON,726
Radeon R7 A12-9730P RADEON,1014
Radeon R7 A12-9800 RADEON,1069
Radeon R7 A12-9800E RADEON,942
Radeon R7 A265,993
Radeon R7 A360,615
Radeon R7 A365,781
Radeon R7 A370,1281
Radeon R7 A8 PRO-7600B,643
Radeon R7 A8-7500,811
Radeon R7 A8-7500 4C+6G,853
Radeon R7 A8-7600,775
Radeon R7 A8-7650K,757
Radeon R7 A8-7670K,846
Radeon R7 A8-7680,790
Radeon R7 A8-8650,718
Radeon R7 A8-9600 RADEON,857
Radeon R7 FX-8800P,819
Radeon R7 FX-9800P RADEON,759
Radeon R7 FX-9830P RADEON,1347
Radeon R7 G,869
Radeon R7 M260,527
Radeon R7 M260DX,816
Radeon R7 M260X,1013
Radeon R7 M265,559
Radeon R7 M265DX,498
Radeon R7 M270,775
Radeon R7 M340,645
Radeon R7 M350,1075
Radeon R7 M360,586
Radeon R7 M365X,824
Radeon R7 M370,1417
Radeon R7 M380,1668
Radeon R7 M440,902
Radeon R7 M445,945
Radeon R7 M460,1069
Radeon R7 M465,1058
Radeon R7 M465X,1786
Radeon R7 Opteron X3421,1103
Radeon R7 PRO A10-8750B,784
Radeon R7 PRO A10-8770,897
Radeon R7 PRO A10-8770E,796
Radeon R7 PRO A10-8850B,945
Radeon R7 PRO A10-9700,822
Radeon R7 PRO A10-9700B,628
Radeon R7 PRO A10-9700E,921
Radeon R7 PRO A12-8800B,610
Radeon R7 PRO A12-8830B,579
Radeon R7 PRO A12-8870,981
Radeon R7 PRO A12-8870E,875
Radeon R7 PRO A12-9800,939
Radeon R7 PRO A12-9800B,682
Radeon R7 PRO A12-9800E,967
Radeon R7 PRO A6-9500 2C+6G,781
Radeon R7 PRO A8-8650B,726
Radeon R7 PRO A8-8670E,1162
Radeon R7 PRO A8-9600,837
Radeon R7E,564
Radeon R8 M365DX,647
Radeon R8 M445DX,796
Radeon R8 M535DX,670
Radeon R9 255,1501
Radeon R9 260,3047
Radeon R9 270,4306
Radeon R9 270 / R7 370,4259
Radeon R9 270X,4874
Radeon R9 280,5532
Radeon R9 280X,6095
Radeon R9 285 / 380,5549
Radeon R9 290,8181
Radeon R9 290 / 390,8150
Radeon R9 290X,8426
Radeon R9 290X / 390X,8380
Radeon R9 295X2,8734
Radeon R9 350,1997
Radeon R9 360,3031
Radeon R9 370,4722
Radeon R9 380,5997
Radeon R9 380X,6132
Radeon R9 390,8849
Radeon R9 390X,9279
Radeon R9 Fury,9513
Radeon R9 Fury + Fury X,9741
Radeon R9 Fury X,9379
Radeon R9 M265X,1168
Radeon R9 M270X,1204
Radeon R9 M275,1114
Radeon R9 M275X,1630
Radeon R9 M275X / M375,1574
Radeon R9 M280X,813
Radeon R9 M290X,3217
Radeon R9 M295X,5150
Radeon R9 M360,1820
Radeon R9 M365X,1481
Radeon R9 M370X,1566
Radeon R9 M375,998
Radeon R9 M375X,1710
Radeon R9 M380,2752
Radeon R9 M385,2060
Radeon R9 M385X,1993
Radeon R9 M390X,3895
Radeon R9 M395,4877
Radeon R9 M395X,5083
Radeon R9 M470,2330
Radeon R9 M470X,3244
Radeon R9 M485X,3800
Radeon RX 460,4099
Radeon RX 470/570,7933
Radeon RX 480,8543
Radeon RX 5300,7605
Radeon RX 5300M,5044
Radeon RX 540,2134
Radeon RX 550,2675
Radeon RX 5500,8837
Radeon RX 5500 XT,9079
Radeon RX 5500M,5953
Radeon RX 550X,2378
Radeon RX 560,3681
Radeon RX 5600,11752
Radeon RX 5600 OEM,12333
Radeon RX 5600 XT,13449
Radeon RX 5600M,8879
Radeon RX 560X,3339
Radeon RX 5700,14299
Radeon RX 5700 XT,16173
Radeon RX 5700 XT 50th Anniversary,16588
Radeon RX 570X,1923
Radeon RX 580,8798
Radeon RX 580 2048SP,7632
Radeon RX 580X,7600
Radeon RX 590,9314
Radeon RX 6300,5314
Radeon RX 6300M,6421
Radeon RX 640,2171
Radeon RX 6400,7732
Radeon RX 6500,7610
Radeon RX 6500 XT,9607
Radeon RX 6500M,7431
Radeon RX 6550M,9686
Radeon RX 6600,15085
Radeon RX 6600 LE,13746
Radeon RX 6600 XT,16452
Radeon RX 6600M,13922
Radeon RX 6600S,13016
Radeon RX 6650 XT,17147
Radeon RX 6650M,15178
Radeon RX 6650M XT,17070
Radeon RX 6700,18927
Radeon RX 6700 XT,19748
Radeon RX 6700M,13535
Radeon RX 6700S,15052
Radeon RX 6750 GRE 10GB,18769
Radeon RX 6750 GRE 12GB,20096
Radeon RX 6750 XT,20681
Radeon RX 6800,22052
Radeon RX 6800 XT,24982
Radeon RX 6800M,13276
Radeon RX 6800S,15865
Radeon RX 6850M,12274
Radeon RX 6850M XT,17367
Radeon RX 6900 XT,26727
Radeon RX 6950 XT,28099
Radeon RX 7400,11976
Radeon RX 7600,16580
Radeon RX 7600 XT,17271
Radeon RX 7600M,10999
Radeon RX 7600M XT,14663
Radeon RX 7600S,15549
Radeon RX 7650 GRE,18485
Radeon RX 7700,22146
Radeon RX 7700 XT,22668
Radeon RX 7700S,15490
Radeon RX 780,7657
Radeon RX 7800 XT,24259
Radeon RX 7800M,16134
Radeon RX 7900 GRE,27199
Radeon RX 7900 XT,28979
Radeon RX 7900 XTX,31293
Radeon RX 7900M,22383
Radeon RX 9060,17730
Radeon RX 9060 XT 16GB,20031
Radeon RX 9060 XT 8GB,19844
Radeon RX 9070,25398
Radeon RX 9070 GRE,24418
Radeon RX 9070 XT,26901
Radeon RX Vega - Renoir Ryzen 3 5300U,2312
Radeon RX Vega 10,1628
Radeon RX Vega 10 Ryzen 7 3700C,1166
Radeon RX Vega 10 Ryzen 7 3700U,1476
Radeon RX Vega 10 Ryzen 7 3750H,1867
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1447
Radeon RX Vega 11,2091
Radeon RX Vega 11 PRD,2401
Radeon RX Vega 11 Processor,1783
Radeon RX Vega 11 Ryzen 5 3350G,1898
Radeon RX Vega 11 Ryzen 5 3400G,2142
Radeon RX Vega 11 Ryzen 5 3400GE,1949
Radeon RX Vega 56,13011
Radeon RX Vega 6,1492
Radeon RX Vega 6 Ryzen 3 3200U,906
Radeon RX Vega 64,13937
Radeon RX Vega 8,1540
Radeon RX Vega M GH,6548
Radeon RX Vega M GL,3905
Radeon RX Vega Ryzen 3 5300U,2329
Radeon RX Vega Ryzen 5 5500U,2356
Radeon RX Vega Ryzen 5 5600GT,9558
Radeon RX Vega Ryzen 7 5825U,2916
Radeon RX Vega11,1605
Radeon RX Vega11 Ryzen 7 3750H,1594
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1519
Radeon RX590 GME,8342
Radeon Ryzen 3 3250U,793
Radeon Ryzen 3 5300U,1542
Radeon Ryzen 3 5425U,1561
Radeon Ryzen 3 7330U,1585
Radeon Ryzen 3 7335U,2152
Radeon Ryzen 3 PRO 4355GE,1622
Radeon Ryzen 3 PRO 5355G,2544
Radeon Ryzen 3 PRO 5355GE,1951
Radeon Ryzen 3 PRO 5450U,1640
Radeon Ryzen 3 PRO 5475U,1650
Radeon Ryzen 3 PRO 7330U,1853
Radeon Ryzen 3 PRO 7335U,1978
Radeon Ryzen 5 3450U,1105
Radeon Ryzen 5 3550H,1290
Radeon Ryzen 5 4600GE with Radeon Graphics,2337
Radeon Ryzen 5 5500GT,2456
Radeon Ryzen 5 5500H,2019
Radeon Ryzen 5 5500U,2023
Radeon Ryzen 5 5560U,2036
Radeon Ryzen 5 5600GE,2330
Radeon Ryzen 5 5600GT,2408
Radeon Ryzen 5 5600H,2379
Radeon Ryzen 5 5600U,2093
Radeon Ryzen 5 5625U,2074
Radeon Ryzen 5 6600H,3466
Radeon Ryzen 5 6600HS Creator Edition,3789
Radeon Ryzen 5 6600U,3205
Radeon Ryzen 5 7430U,2323
Radeon Ryzen 5 7530U,2198
Radeon Ryzen 5 7533HS,3442
Radeon Ryzen 5 7535HS,3157
Radeon Ryzen 5 7535U,3158
Radeon Ryzen 5 7600 6-Core,1696
Radeon Ryzen 5 7600X 6-Core,1628
Radeon Ryzen 5 7600X3D 6-Core,1791
Radeon Ryzen 5 Microsoft Surface Edition,2037
Radeon Ryzen 5 PRO 4400G,2272
Radeon Ryzen 5 PRO 4655G,2267
Radeon Ryzen 5 PRO 4655GE,2217
Radeon Ryzen 5 PRO 5650G,2316
Radeon Ryzen 5 PRO 5650GE,2251
Radeon Ryzen 5 PRO 5655G,2397
Radeon Ryzen 5 PRO 5655GE,1781
Radeon Ryzen 5 PRO 5675U,1881
Radeon Ryzen 5 PRO 6650H,3194
Radeon Ryzen 5 PRO 6650U,3602
Radeon Ryzen 5 PRO 7445 6-Core,1591
Radeon Ryzen 5 Pro 7535U,2849
Radeon Ryzen 5 PRO 7645 6-Core,1619
Radeon Ryzen 7 3700U,1217
Radeon Ryzen 7 4700G,2553
Radeon Ryzen 7 4700GE,2586
Radeon Ryzen 7 4700U,2044
Radeon Ryzen 7 4800H,3214
Radeon Ryzen 7 4800HS,3058
Radeon Ryzen 7 4800U,2301
Radeon Ryzen 7 5700U,2217
Radeon Ryzen 7 5800H,2845
Radeon Ryzen 7 5800HS,2562
Radeon Ryzen 7 5800U,2385
Radeon Ryzen 7 5825U,2418
Radeon Ryzen 7 6800H,4842
Radeon Ryzen 7 6800HS,6012
Radeon Ryzen 7 6800HS Creator Edition,5370
Radeon Ryzen 7 6800U,4213
Radeon Ryzen 7 6810U,5937
Radeon Ryzen 7 7700 8-Core,1671
Radeon Ryzen 7 7700X 8-Core,1795
Radeon Ryzen 7 7730U,2344
Radeon Ryzen 7 7735H,5325
Radeon Ryzen 7 7735HS,4942
Radeon Ryzen 7 7735U,4663
Radeon Ryzen 7 7736U,5825
Radeon Ryzen 7 7800X3D 8-Core,1734
Radeon Ryzen 7 Microsoft Surface Edition,2244
Radeon Ryzen 7 PRO 4750G,2535
Radeon Ryzen 7 PRO 4750GE,2357
Radeon Ryzen 7 PRO 4750U,1984
Radeon Ryzen 7 PRO 5755G,2733
Radeon Ryzen 7 PRO 5755GE,2119
Radeon Ryzen 7 PRO 5800H,2944
Radeon Ryzen 7 PRO 5875U,2203
Radeon Ryzen 7 PRO 6850H,5497
Radeon Ryzen 7 PRO 6850HS,5057
Radeon Ryzen 7 PRO 6850U,5071
Radeon Ryzen 7 PRO 6860Z,4536
Radeon Ryzen 7 PRO 7730U,2270
Radeon Ryzen 7 Pro 7735U,3867
Radeon Ryzen 7 PRO 7745 8-Core,1660
Radeon Ryzen 9 4900H,2553
Radeon Ryzen 9 4950U Mobile,2594
Radeon Ryzen 9 5900H,1609
Radeon Ryzen 9 6900HS,6769
Radeon Ryzen 9 6900HS Creator Edition,5155
Radeon Ryzen 9 7900 12-Core,1880
Radeon Ryzen 9 7900X 12-Core,2150
Radeon Ryzen 9 7900X3D 12-Core,1763
Radeon Ryzen 9 7950X 16-Core,3147
Radeon Ryzen 9 7950X3D 16-Core,1645
Radeon Ryzen 9 PRO 6950H,5600
Radeon Ryzen 9 PRO 6950HS,4351
Radeon Ryzen 9 PRO 7945 12-Core,1608
Radeon Ryzen Embedded R2312,837
Radeon Ryzen Embedded R2314,1162
Radeon Ryzen Embedded R2514,1373
Radeon Ryzen Embedded R2544,1864
Radeon Ryzen Embedded V2516,1723
Radeon Ryzen Embedded V2546,1435
Radeon Ryzen Embedded V2718,1998
Radeon Ryzen Embedded V2748,2216
Radeon Ryzen Z2 Go,4999
Radeon Sky 500,4722
Radeon TM,5539
Radeon TM R9 A360,2060
Radeon VE,2
Radeon Vega 10,1512
Radeon Vega 10 Mobile,1535
Radeon Vega 10 Ryzen 7 PRO 3700U w/,1589
Radeon Vega 11,1862
Radeon Vega 11 Ryzen 5 PRO 3350G,2178
Radeon Vega 11 Ryzen 5 PRO 3350GE,1810
Radeon Vega 11 Ryzen 5 PRO 3400G,2001
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1578
Radeon Vega 2,506
Radeon Vega 2 Athlon Silver 3050U,496
Radeon Vega 3,891
Radeon Vega 3 3020e,534
Radeon Vega 3 Athlon 3000G,948
Radeon Vega 3 Athlon 300GE,996
Radeon Vega 3 Athlon 300U,809
Radeon Vega 3 Athlon 320GE,718
Radeon Vega 3 Athlon Gold 3150C,366
Radeon Vega 3 Athlon Gold 3150G,1088
Radeon Vega 3 Athlon Gold 3150U,664
Radeon Vega 3 Athlon PRO 300GE w/,1090
Radeon Vega 3 Athlon Silver 3050e,515
Radeon Vega 3 Athlon Silver 3050U,835
Radeon Vega 3 Mobile,1052
Radeon Vega 3 Ryzen 3 3200U,833
Radeon Vega 3 Ryzen 3 3250U,687
Radeon Vega 3 Ryzen Embedded R1305G,580
Radeon Vega 3 Ryzen Embedded R1505G,731
Radeon Vega 3 Ryzen Embedded R1606G,892
Radeon Vega 6,1310
Radeon Vega 6 Ryzen 3 3300U,1352
Radeon Vega 6 Ryzen 3 3350U,1420
Radeon Vega 6 Ryzen 3 PRO 3300U w/,1303
Radeon Vega 8,1568
Radeon Vega 8 Mobile,1440
Radeon Vega 8 Ryzen 3 3200G,1669
Radeon Vega 8 Ryzen 3 3200GE,1872
Radeon Vega 8 Ryzen 3 PRO 3200G,1390
Radeon Vega 8 Ryzen 3 PRO 3200GE w/,1549
Radeon Vega 8 Ryzen 5 3450U,1302
Radeon Vega 8 Ryzen 5 3500U,1359
Radeon Vega 8 Ryzen 5 3550H,1717
Radeon Vega 8 Ryzen 5 3580U,1621
Radeon Vega 8 Ryzen 5 PRO 3500U w/,1477
Radeon Vega 9,1587
Radeon Vega 9 Ryzen 5 3550H,1516
Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1521
Radeon Vega Frontier Edition,12684
Radeon VII,16279
Radeon X1050,49
Radeon X1200,32
Radeon X1250,37
Radeon X1270,31
Radeon X1300,58
Radeon X1300 PRO,84
Radeon X1550,66
Radeon X1550 64-bit,47
Radeon X1600,49
Radeon X1600 Pro,98
Radeon X1600 Pro / X1300XT,69
Radeon X1600 XT,115
Radeon X1650 GTO,74
Radeon X1650 Pro,84
Radeon X1650 SE,71
Radeon X1700 Targa Edition,116
Radeon X1800 GTO,140
Radeon X1900 CrossFire Edition,137
Radeon X1900 GT,145
Radeon X1950 CrossFire Edition,151
Radeon X1950 GT,106
Radeon X1950 Pro,112
RADEON X300SE,38
RADEON X550,50
RADEON X550XT,56
Radeon X550XTX,70
RADEON X600 256MB HyperMemory,56
RADEON X600 PRO,67
RADEON X600 SE,49
RADEON X600XT,91
RADEON X700,72
RADEON X700 PRO,75
RADEON X700 SE,71
RADEON X800 GT,84
RADEON X800 GTO,114
RADEON X800 PRO,64
RADEON X800 PRO/GTO,73
RADEON X800 SE,129
RADEON X800 XL,69
RADEON X800 XT,97
RADEON X800 XT Platinum Edition,81
RADEON X800GT,79
RADEON X850 PRO,72
RADEON X850 XT,81
RADEON X850 XT Platinum Edition,81
Radeon Xpress 1100,34
Radeon Xpress 1150,29
Radeon Xpress 1200,35
Radeon Xpress 1250,42
Radeon Xpress 1270,26
Radeon Xpress 1300,52
Radeon Xpress 1300M,40
RADEON XPRESS 200,29
RADEON XPRESS 200 CROSSFIRE,18
RADEON XPRESS 200M,22
RadeonT 610M,1063
RadeonT 660M,2220
RadeonT 660M Ryzen 5 6600H,4188
RadeonT 660M Ryzen 5 7535HS,4051
RadeonT 680M Ryzen 7 6800H,2381
RadeonT 680M Ryzen 7 7735HS,5680
RadeonT 780M,7098
RadeonT Athlon Silver 3050e,741
RadeonT RX 6850M XT,13992
RadeonT RX Vega 11,1916
RadeonT Ryzen 3 3250U,581
Rage 128 Pro,1
RAGE 128 PRO AGP 4X TMDS,1
Rage Fury Pro/Xpert 2000 Pro,3
RDPDD Chained DD,217
Red Hat QXL controller,52
RemotePC Adapter,5928
RGH Drivers v3,11
RIVA TNT2 Model 64/Model 64 Pro,3
RIVA TNT2/TNT2 Pro,3
RTX 1000 Ada Generation Laptop GPU,13511
RTX 2000 Ada Generation,17164
RTX 2000 Ada Generation Embedded GPU,15316
RTX 2000 Ada Generation Laptop GPU,14929
RTX 2000E Ada Generation,15464
RTX 3000 Ada Generation Laptop GPU,15897
RTX 3500 Ada Generation Embedded GPU,25266
RTX 3500 Ada Generation Laptop GPU,19605
RTX 4000 Ada Generation,24070
RTX 4000 Ada Generation Laptop GPU,22157
RTX 4000 SFF Ada Generation,20671
RTX 4500 Ada Generation,27849
RTX 500 Ada Generation Laptop GPU,11150
RTX 5000 Ada Generation,30223
RTX 5000 Ada Generation Embedded GPU,17055
RTX 5000 Ada Generation Laptop GPU,23269
RTX 5880 Ada Generation,25095
RTX 6000 Ada Generation,28453
RTX A1000,10815
RTX A1000 6GB Laptop GPU,10046
RTX A1000 Embedded GPU,11009
RTX A1000 Laptop GPU,9473
RTX A2000,13469
RTX A2000 12GB,13711
RTX A2000 8GB Laptop GPU,10514
RTX A2000 Embedded GPU,11117
RTX A2000 Laptop GPU,9528
RTX A3000 12GB Laptop GPU,13917
RTX A3000 Laptop GPU,12696
RTX A400,5972
RTX A4000,19473
RTX A4000 Laptop GPU,14753
RTX A4000H,11815
RTX A4500,21136
RTX A4500 Embedded GPU,8525
RTX A4500 Laptop GPU,16583
RTX A500 Embedded GPU,6197
RTX A500 Laptop GPU,6610
RTX A5000,22944
RTX A5000 Laptop GPU,16287
RTX A5500,21107
RTX A5500 Laptop GPU,17119
RTX A6000,22824
RTX PRO 1000 Blackwell Generation Laptop GPU,14970
RTX PRO 2000 Blackwell,16791
RTX PRO 2000 Blackwell Generation Laptop GPU,17015
RTX PRO 3000 Blackwell Generation Laptop GPU,23478
RTX PRO 4000 Blackwell,24196
RTX PRO 4000 Blackwell Generation Laptop GPU,24892
RTX PRO 4000 Blackwell SFF Edition,30019
RTX PRO 4500 Blackwell,34558
RTX PRO 500 Blackwell Generation Laptop GPU,13283
RTX PRO 5000 Blackwell,33257
RTX PRO 5000 Blackwell Generation Laptop GPU,26054
RTX Pro 6000 Blackwell DC-12Q,2747
RTX Pro 6000 Blackwell DC-24Q,5044
RTX PRO 6000 Blackwell Max-Q Workstation Edition,31851
RTX PRO 6000 Blackwell Server Edition,42222
RTX PRO 6000 Blackwell Workstation Edition,36415
RTX6000-Ada-6Q,23236
RV530 PRO,118
Ryzen 3 4300G with Radeon Graphics,1692
Ryzen 3 4300GE with Radeon Graphics,2323
Ryzen 3 4300U with Radeon Graphics,1379
Ryzen 3 5300G with Radeon Graphics,1969
Ryzen 3 5300GE with Radeon Graphics,1957
Ryzen 3 5300U with Radeon Graphics,1539
Ryzen 3 5400U with Radeon Graphics,1598
